"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GOOGL","Alphabet Inc.","1322.9","$903.04B","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/googl",
"SMCP","AlphaMark Actively Managed Small Cap ETF","18.6447","$16.78M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/smcp",
"ATEC","Alphatec Holdings, Inc.","4.39","$278.41M","2006","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/atec",
"ALPN","Alpine Immune Sciences, Inc.","2.795","$51.95M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alpn",
"ALTR","Altair Engineering Inc.","31.53","$2.3B","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/altr",
"ATHE","Alterity Therapeutics Limited","0.66","$9.6M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/athe",
"ALT","Altimmune, Inc.","3.15","$48.39M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alt",
"ASPS","Altisource Portfolio Solutions S.A.","7.49","$116.62M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","25.545","$1.65B","2006","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aimc",
"ALTM","Altus Midstream Company","0.6134","$199.31M","2017","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/altm",
"AMAG","AMAG Pharmaceuticals, Inc.","7.91","$271.08M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/amag",
"AMAL","Amalgamated Bank","10.35","$323.92M","2018","Consumer Non-Durables","Textiles","https://old.nasdaq.com/symbol/amal",
"AMRN","Amarin Corporation plc","7.62","$2.94B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","14.32","$100.69M","n/a","Basic Industries","Other Specialty Stores","https://old.nasdaq.com/symbol/amrk",
"AMZN","Amazon.com, Inc.","2315.99","$1155.16B","1997","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","16.99","$777.79M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/ambc",
"AMBA","Ambarella, Inc.","49.53","$1.7B","2012","Technology","Semiconductors","https://old.nasdaq.com/symbol/amba",
"AMCX","AMC Networks Inc.","23.9","$1.24B","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/amcx",
"AMCI","AMCI Acquisition Corp.","10.17","$280.34M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/amci",
"AMCIU","AMCI Acquisition Corp.","10.7","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/amciu",
"AMCIW","AMCI Acquisition Corp.","0.13","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/amciw",
"DOX","Amdocs Limited","62.96","$8.47B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/dox",
"AMED","Amedisys Inc","174.49","$5.65B","n/a","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/amed",
"AMTB","Amerant Bancorp Inc.","13.32","$561.65M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/amtb",
"AMTBB","Amerant Bancorp Inc.","9.325","$393.2M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/amtbb",
"UHAL","Amerco","276.17","$5.42B","n/a","Consumer Services","Rental/Leasing Companies","https://old.nasdaq.com/symbol/uhal",
"AMRH","Ameri Holdings, Inc.","1.03","$3.34M","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amrh",
"AMRHW","Ameri Holdings, Inc.","0.0176","n/a","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amrhw",
"ATAX","America First Multifamily Investors, L.P.","5.08","$309.04M","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","11.76","$38.8B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","9.82","$4.15B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/aal",
